panjang_url,jumlah_titik,jumlah_strip,jumlah_digit,ada_at,ada_https,UsingIP,ShortURL,Redirecting//,PrefixSuffix-,SubDomains,HTTPSDomainURL,jumlah_kata_sensitif,label
18,1,0,0,0,1,0,0,0,0,0,0,0,0
29,2,1,2,0,1,0,0,0,1,0,0,0,1
34,2,0,7,0,0,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
18,1,1,0,0,1,0,0,0,1,0,0,0,0
24,2,0,0,0,1,0,0,0,0,0,0,0,0
87,2,1,3,0,1,0,0,0,0,0,0,0,1
43,2,1,0,0,1,0,0,0,1,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
74,2,1,0,0,0,0,0,0,0,0,0,0,1
22,1,0,1,0,1,0,1,0,0,0,0,0,1
51,3,0,4,0,1,0,0,0,0,1,0,0,1
94,2,1,14,0,1,0,0,0,1,0,0,0,1
35,1,2,0,0,1,0,0,0,1,0,0,0,1
22,1,0,1,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,0,0,0,0,0,0,0,0,1
67,2,4,22,0,1,0,0,0,0,0,0,0,1
51,1,3,12,0,1,0,0,0,0,0,0,0,1
24,1,0,1,0,1,0,0,0,0,0,0,0,0
175,2,2,15,0,1,0,0,0,0,0,0,0,1
38,2,0,0,0,1,0,0,0,0,0,0,0,1
30,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,0,0,0,1,0,0,0,0,0,0,0,0
106,3,1,12,0,1,0,0,0,1,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
72,2,0,31,0,1,0,0,0,0,0,0,0,1
62,3,1,22,0,1,0,0,0,1,0,0,0,1
15,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0
54,2,0,6,0,1,0,0,0,0,0,0,0,1
55,2,1,6,0,1,0,0,0,0,0,0,0,1
22,1,0,3,0,1,0,1,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2,0,1,0,1,0,0,0,0,0,0,0,1
29,2,0,3,0,1,0,0,0,0,0,0,0,1
175,2,3,21,0,1,0,0,0,0,0,0,0,1
21,1,1,1,0,1,0,0,0,1,0,0,0,1
31,2,0,9,0,1,0,0,0,0,0,0,0,1
24,1,0,0,0,1,0,1,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,1
27,2,1,0,0,1,0,0,0,1,0,0,0,1
26,2,0,0,0,1,0,0,0,0,0,0,0,1
60,3,4,8,0,1,0,0,0,1,1,0,0,1
22,1,0,1,0,1,0,0,0,0,0,0,0,1
59,2,1,6,0,1,0,0,0,1,0,0,0,1
173,2,3,27,0,1,0,0,0,0,0,0,0,1
22,1,0,0,0,1,0,1,0,0,0,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0,0,1
25,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
22,1,0,0,0,1,0,1,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,3,19,0,1,0,0,0,0,0,0,0,1
24,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0
27,2,0,1,0,1,0,0,0,0,0,0,0,1
37,2,1,12,0,1,0,1,0,1,0,0,0,1
16,1,0,0,0,1,0,0,0,0,0,0,0,0
40,2,1,0,0,1,0,0,0,1,0,0,0,1
24,2,1,0,0,1,0,0,0,1,0,0,0,0
50,2,0,0,0,1,0,0,0,0,0,0,0,1
22,1,0,0,0,1,0,1,0,0,0,0,0,0
70,2,1,2,0,1,0,0,0,1,0,0,1,1
32,2,2,1,0,1,0,0,0,1,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,1,0,0,0,0,0,0
21,1,1,0,0,1,0,0,0,1,0,0,0,0
36,2,0,0,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
32,2,0,0,0,1,0,0,0,0,0,0,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,1,0,1,0,0,0,0,0,0,0,0
63,2,1,3,0,1,0,0,0,1,0,0,0,1
21,1,1,0,0,1,0,0,0,1,0,0,0,1
15,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,1
22,1,0,2,0,1,0,1,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
83,3,0,6,0,1,0,0,0,0,1,0,0,1
175,2,3,18,0,1,0,0,0,0,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,0
147,3,0,7,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
36,3,0,6,0,0,0,0,0,0,0,0,0,1
34,2,0,0,0,1,0,0,0,0,0,0,0,1
61,3,1,27,0,1,0,0,0,1,0,0,0,1
23,2,0,1,0,1,0,0,0,0,0,0,0,1
29,1,0,0,0,1,0,0,0,0,0,0,0,0
27,2,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
15,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
83,3,0,9,0,1,0,0,0,0,1,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,1,0,0,1,0,0,0,1,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
35,2,2,1,0,1,0,0,0,1,0,0,0,1
84,2,0,5,0,1,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
48,2,2,0,0,1,0,0,0,1,0,0,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0
40,2,1,3,0,1,0,0,0,0,0,0,0,1
21,1,1,1,0,1,0,0,0,1,0,0,0,1
131,2,4,16,0,1,0,0,0,0,0,0,0,1
24,1,1,0,0,1,0,0,0,1,0,0,0,0
205,3,0,13,0,1,0,0,0,0,0,0,0,1
90,3,1,4,0,0,0,0,0,1,0,0,0,1
27,2,0,0,0,1,0,0,0,0,0,0,0,0
144,3,1,14,0,1,0,0,0,0,0,0,0,1
39,2,1,0,0,1,0,0,0,1,0,0,1,1
41,2,0,0,0,1,0,0,0,0,0,0,0,1
33,2,0,0,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
58,3,0,1,0,1,0,0,1,0,0,0,0,1
38,2,1,4,0,1,0,0,0,1,0,0,0,1
35,2,1,0,0,1,0,0,0,0,0,0,0,1
46,2,0,16,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,0,0,1,0,0,0,1,0,0,0,1
736,8,16,191,0,1,0,0,1,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,2,17,0,1,0,0,0,0,0,0,0,1
41,2,0,0,0,1,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,0
